CODICE STS,DESCRIZIONE STS,CODICE CATALOGO,DESCRZIONE CATALOGO,GG ATTESA MEDI,MESE,ANNO
000256,VERBANIA,8741.0,Tac del torace,245,7,2024
000256,VERBANIA,8741.0,Tac del torace,239,8,2024
000256,VERBANIA,8741.0,Tac del torace,234,9,2024
000256,VERBANIA,8741.1,Tac del torace ad alta risoluzione,206,1,2024
000256,VERBANIA,8741.1,Tac del torace ad alta risoluzione,217,2,2024
000256,VERBANIA,8741.1,Tac del torace ad alta risoluzione,223,3,2024
000256,VERBANIA,8741.1,Tac del torace ad alta risoluzione,225,4,2024
000256,VERBANIA,8741.1,Tac del torace ad alta risoluzione,227,5,2024
000256,VERBANIA,8741.1,Tac del torace ad alta risoluzione,231,6,2024
000256,VERBANIA,8741.1,Tac del torace ad alta risoluzione,245,7,2024
000256,VERBANIA,8741.1,Tac del torace ad alta risoluzione,239,8,2024
000256,VERBANIA,8741.1,Tac del torace ad alta risoluzione,234,9,2024
000256,VERBANIA,88.01.1,Tac dell'addome superiore,146,1,2024
000256,VERBANIA,88.01.1,Tac dell'addome superiore,130,2,2024
000256,VERBANIA,88.01.1,Tac dell'addome superiore,146,3,2024
000256,VERBANIA,88.01.1,Tac dell'addome superiore,119,4,2024
000256,VERBANIA,88.01.1,Tac dell'addome superiore,130,5,2024
000256,VERBANIA,88.01.1,Tac dell'addome superiore,128,6,2024
000256,VERBANIA,88.01.1,Tac dell'addome superiore,155,7,2024
000256,VERBANIA,88.01.1,Tac dell'addome superiore,171,8,2024
000256,VERBANIA,88.01.1,Tac dell'addome superiore,182,9,2024
000256,VERBANIA,88.01.2,Tac dell'addome superiore, senza e con contrasto,206,1,2024
000256,VERBANIA,88.01.2,Tac dell'addome superiore, senza e con contrasto,217,2,2024
000256,VERBANIA,88.01.2,Tac dell'addome superiore, senza e con contrasto,233,3,2024
000256,VERBANIA,88.01.2,Tac dell'addome superiore, senza e con contrasto,225,4,2024
000256,VERBANIA,88.01.2,Tac dell'addome superiore, senza e con contrasto,227,5,2024
000256,VERBANIA,88.01.2,Tac dell'addome superiore, senza e con contrasto,231,6,2024
000256,VERBANIA,88.01.2,Tac dell'addome superiore, senza e con contrasto,245,7,2024
000256,VERBANIA,88.01.2,Tac dell'addome superiore, senza e con contrasto,239,8,2024
000256,VERBANIA,88.01.2,Tac dell'addome superiore, senza e con contrasto,234,9,2024
000256,VERBANIA,88.01.3,Tac dell'addome inferiore,206,1,2024
000256,VERBANIA,88.01.3,Tac dell'addome inferiore,217,2,2024
000256,VERBANIA,88.01.3,Tac dell'addome inferiore,233,3,2024
000256,VERBANIA,88.01.3,Tac dell'addome inferiore,225,4,2024
000256,VERBANIA,88.01.3,Tac dell'addome inferiore,227,5,2024
000256,VERBANIA,88.01.3,Tac dell'addome inferiore,231,6,2024
000256,VERBANIA,88.01.3,Tac dell'addome inferiore,245,7,2024
000256,VERBANIA,88.01.3,Tac dell'addome inferiore,239,8,2024
000256,VERBANIA,88.01.3,Tac dell'addome inferiore,234,9,2024
000256,VERBANIA,88.01.4,Tac dell'addome inferiore, senza e con contrasto,206,1,2024
000256,VERBANIA,88.01.4,Tac dell'addome inferiore, senza e con contrasto,217,2,2024
000256,VERBANIA,88.01.4,Tac dell'addome inferiore, senza e con contrasto,233,3,2024
000256,VERBANIA,88.01.4,Tac dell'addome inferiore, senza e con contrasto,225,4,2024
000256,VERBANIA,88.01.4,Tac dell'addome inferiore, senza e con contrasto,227,5,2024
000256,VERBANIA,88.01.4,Tac dell'addome inferiore, senza e con contrasto,231,6,2024
