ASL,ANNO,SETTIMANA_INDICE,ID_PRESTAZIONE,DESC_PRESTAZIONE,COD_PRESTAZIONE,PRENOTAZIONI,PRENOTAZIONI_DAGARANTIRE,PRENOTAZIONI_DAGARANTIRE_B,PRENOTAZIONI_DAGARANTIRE_B_TMAX,PRENOTAZIONI_DAGARANTIRE_D,PRENOTAZIONI_DAGARANTIRE_D_TMAX,PRENOTAZIONI_DAGARANTIRE_P,PRENOTAZIONI_DAGARANTIRE_P_TMAX
160106,2021,12-16 LUGLIO 2021,35,"RM di encefalo e tronco encefalico, giunzione cranio spinale e relativo distretto vascolare senza e con MDC",88.91.2,7,7,5,2,,,2,2
160106,2021,12-16 LUGLIO 2021,36,"RM di addome inferiore e scavo pelvico",88.95.4,1,1,,,,,1,1
160106,2021,12-16 LUGLIO 2021,37,"RM di addome inferiore e scavo pelvico senza e con MDC",88.95.5,15,15,6,1,4,1,4,3
160106,2021,12-16 LUGLIO 2021,38,"RM della colonna in toto",88.93,3,3,1,,,,2,2
160106,2021,12-16 LUGLIO 2021,39,"RM della colonna in toto senza e con MDC",88.93.1,,,,,,,,
160106,2021,12-16 LUGLIO 2021,40,"Diagnostica ecografica del capo e del collo",88.71.4,41,32,11,5,7,2,14,6
160106,2021,12-16 LUGLIO 2021,41,"Eco (color) dopplergrafia cardiaca",88.72.3,37,30,2,,6,5,22,22
160106,2021,12-16 LUGLIO 2021,42,"Eco (color) dopplergrafia dei tronchi sovra aortici",88.73.5,63,53,7,5,11,9,34,31
160106,2021,12-16 LUGLIO 2021,43,"Ecografia dell'addome superiore",88.74.1,34,27,5,4,9,8,12,12
160106,2021,12-16 LUGLIO 2021,44,"Ecografia dell'addome inferiore",88.75.1,13,12,1,1,1,1,10,9
160106,2021,12-16 LUGLIO 2021,45,"Ecografia dell'addome completo",88.76.1,111,49,17,9,6,5,25,22
160106,2021,12-16 LUGLIO 2021,46,"Ecografia bilaterale della mammella",88.73.1,93,87,13,4,7,7,66,66
160106,2021,12-16 LUGLIO 2021,47,"Ecografia monolaterale della mammella",88.73.2,1,,,,,,,
