"ASL","ANNO","SETTIMANA_INDICE","ID_PRESTAZIONE","DESC_PRESTAZIONE","COD_PRESTAZIONE","PRENOTAZIONI","PRENOTAZIONI_DAGARANTIRE","PRENOTAZIONI_DAGARANTIRE_B","PRENOTAZIONI_DAGARANTIRE_B_TMAX","PRENOTAZIONI_DAGARANTIRE_D","PRENOTAZIONI_DAGARANTIRE_D_TMAX","PRENOTAZIONI_DAGARANTIRE_P","PRENOTAZIONI_DAGARANTIRE_P_TMAX"
"160113","2023","09-13 GENNAIO 2023",65,"ELETTROMIOGRAFIA SEMPLICE [EMG] PER ARTO INFERIORE fino a 4 muscoli. Analisi qualitativa. Non associabile a 93.09.1 e 93.09.2","93.08.1",105,99,10,10,39,39,50,50
"160113","2023","09-13 GENNAIO 2023","66 - 67","ELETTROMIOGRAFIA SEMPLICE [EMG] DEL CAPO fino a 4 muscoli. Analisi qualitativa. Escluso: EMG dell'occhio (95.25) e POLISONNOGRAFIA (89.17)","93.08.1",9,9,1,1,6,6,2,2
"160113","2023","09-13 GENNAIO 2023",,"ELETTROMIOGRAFIA SEMPLICE [EMG] DEL TRONCO. Analisi qualitativa. Fino a 4 muscoli",,,,,,,,,
"160113","2023","09-13 GENNAIO 2023",68,"VALUTAZIONE EMG DINAMICA DEL CAMMINO. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli), associato ad esame basografico per la definizione delle fasi del passo. Non associabile a ANALISI DELLA CINEMATICA E DELLA DINAMICA DEL PASSO (93.05.7)","93.08.1",,,,,,,,
"160113","2023","09-13 GENNAIO 2023",69,"EMG DINAMICA DELL'ARTO SUPERIORE. Valutazione EMG di superficie o con elettrodi a filo (4 muscoli)","93.08.1",,,,,,,,
"160106","2023","09-13 GENNAIO 2023",1,"Prima Visita cardiologica","89.7",341,313,59,24,52,26,202,54
"160106","2023","09-13 GENNAIO 2023",2,"Prima Visita chirurgia vascolare","89.7",25,23,3,1,11,1,9,1
"160106","2023","09-13 GENNAIO 2023",3,"Prima Visita endocrinologica","89.7",194,179,41,25,32,10,106,48
"160106","2023","09-13 GENNAIO 2023",4,"Prima Visita neurologica","89.13",93,88,19,5,13,2,56,13
"160106","2023","09-13 GENNAIO 2023",5,"Prima Visita oculistica","95.02",157,145,31,31,33,7,81,27
"160106","2023","09-13 GENNAIO 2023",6,"Prima Visita ortopedica","89.7",246,213,40,16,44,12,129,128
"160106","2023","09-13 GENNAIO 2023",7,"Prima Visita ginecologica","89.26",81,55,14,9,12,5,29,23
"160106","2023","09-13 GENNAIO 2023",8,"Prima Visita otorinolaringoiatrica","89.7",261,232,43,39,40,8,149,149
"160106","2023","09-13 GENNAIO 2023",9,"Prima Visita urologica","89.7",114,108,25,6,31,8,52,25
"160106","2023","09-13 GENNAIO 2023",10,"Prima Visita dermatologica","89.7",181,156,31,27,37,13,88,82
"160106","2023","09-13 GENNAIO 2023",11,"Prima Visita fisiatrica","89.7",212,171,28,27,27,21,116,114
"160106","2023","09-13 GENNAIO 2023",12,"Prima Visita gastroenterologica","89.7",54,46,12,7,11,5,23,22
"160106","2023","09-13 GENNAIO 2023",13,"Prima Visita oncologica","89.7",57,55,3,3,6,6,46,46
"160106","2023","09-13 GENNAIO 2023",14,"Prima Visita pneumologica","89.7",121,100,22,4,27,5,51,50
"160106","2023","09-13 GENNAIO 2023",15,"Mammografia bilaterale","87.37.1",147,129,16,7,21,8,92,29
"160106","2023","09-13 GENNAIO 2023",16,"Mammografia monolaterale","87.37.2",9,6,3,2,,,3,3
"160106","2023","09-13 GENNAIO 2023",17,"TC del Torace","87.41",59,55,17,6,17,5,21,8
"160106","2023","09-13 GENNAIO 2023",18,"TC del Torace senza e con MDC","87.41.1",82,73,20,7,24,19,29,19
"160106","2023","09-13 GENNAIO 2023",19,"TC dell’addome superiore","88.01.1",,,,,,,,
"160106","2023","09-13 GENNAIO 2023",20,"TC dell’addome superiore senza e con MDC","88.01.2",5,5,1,1,2,,2,1
"160106","2023","09-13 GENNAIO 2023",21,"TC dell’addome inferiore","88.01.3",,,,,,,,
"160106","2023","09-13 GENNAIO 2023",22,"TC dell’addome inferiore senza e con MDC","88.01.4",4,4,1,1,1,,2,
"160106","2023","09-13 GENNAIO 2023",23,"TC dell’addome completo","88.01.5",8,8,5,,,,3,1
"160106","2023","09-13 GENNAIO 2023",24,"TC dell’addome completo senza e con MDC","88.01.6",95,87,23,7,31,22,33,21
"160106","2023","09-13 GENNAIO 2023",25,"TC Cranio - encefalo","87.03",34,34,11,4,9,2,14,3
"160106","2023","09-13 GENNAIO 2023",26,"TC Cranio - encefalo senza e con MDC","87.03.1",34,31,3,,12,11,16,13
"160106","2023","09-13 GENNAIO 2023",27,"TC del rachide e dello speco vertebrale cervicale","88.38.1",2,2,,,,,2,1
"160106","2023","09-13 GENNAIO 2023",28,"TC del rachide e dello speco vertebrale toracico","88.38.1",2,2,1,1,1,,,
"160106","2023","09-13 GENNAIO 2023",29,"TC del rachide e dello speco vertebrale lombosacrale","88.38.1",4,4,3,1,1,,,
"160106","2023","09-13 GENNAIO 2023",30,"TC del rachide e dello speco vertebrale cervicale senza e con MDC","88.38.2",1,1,,,,,1,1
"160106","2023","09-13 GENNAIO 2023",31,"TC del rachide e dello speco vertebrale toracico senza e con MDC","88.38.2",2,1,,,,,1,1
"160106","2023","09-13 GENNAIO 2023",32,"TC del rachide e dello speco vertebrale lombosacrale senza e con MDC","88.38.2",1,1,,,,,1,1
