REGIONE,ASL,ANNO,PERIODO_DI_RIFERIMENTO,ID_PRESTAZIONE,DESC_PRESTAZIONE,COD_PRESTAZIONE,EROGAZIONI,EROGAZIONI_DAGARANTIRE,EROGAZIONI_DAGARANTIRE_B,EROGAZIONI_DAGARANTIRE_B_TMAX,EROGAZIONI_DAGARANTIRE_D,EROGAZIONI_DAGARANTIRE_D_TMAX,EROGAZIONI_DAGARANTIRE_P,EROGAZIONI_DAGARANTIRE_P_TMAX
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,11,Prima Visita fisiatrica,89.7,4959,2997,822,744,1159,1135,991,991
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,12,Prima Visita gastroenterologica,89.7,684,348,182,109,166,90,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,13,Prima Visita oncologica,89.7,542,178,141,118,37,33,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,14,Prima Visita pneumologica,89.7,2135,651,366,200,285,226,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,15,Mammografia bilaterale,87.37.01,1282,715,207,133,296,263,210,210
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,16,Mammografia monolaterale,87.37.02,12,3,2,1,1,1,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,17,TC del Torace,87.41.00,537,228,146,78,63,46,18,18
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,18,TC del Torace senza e con MDC,87.41.01,750,403,294,93,109,45,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,19,TC dell’addome superiore,88.01.01,16,8,3,2,3,3,1,1
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,20,TC dell’addome superiore senza e con MDC,88.01.02,73,37,30,7,7,3,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,21,TC dell’addome inferiore,88.01.03,20,10,4,4,3,3,2,2
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,22,TC dell’addome inferiore senza e con MDC,88.01.04,75,38,29,6,9,6,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,23,TC dell’addome completo,88.01.05,177,121,69,40,33,28,15,15
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,24,TC dell’addome completo senza e con MDC,88.01.06,761,421,303,88,118,55,,
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,25,TC Cranio - encefalo,87.03.00,360,228,116,74,80,70,24,24
PUGLIA,BT - 160113,2024,I TRIMESTRE 2024,26,TC Cranio - encefalo senza e con MDC,87.03.01,276,133,89,25,44,20,,
